id;fecha;cargo;observaciones;expediente;prestaservicioen
1;2019-11-05;hard drive Chips;orange;Dynamic Salad;Handmade deposit User-friendly
2;2019-11-05;Group;copying;Senior Credit Card Account backing up;communities
3;2019-11-05;card;cross-platform Central synthesizing;Buckinghamshire Uzbekistan Sum Exclusive;Virgin Islands, U.S.
4;2019-11-05;Awesome Frozen Chair Movies;Saint Pierre and Miquelon;monitoring strategic ROI;Steel Fresh Malaysian Ringgit
5;2019-11-05;grow;Plains bandwidth Principal;deposit Manors;Roads Strategist Steel
6;2019-11-05;quantifying Computer Refined;Plain;knowledge base Virtual Representative;generating grid-enabled indexing
7;2019-11-05;withdrawal;Directives Home Loan Account parsing;parsing;ivory
8;2019-11-05;Handmade bypass Lake;e-services ivory Mission;sensor;implementation Awesome overriding
9;2019-11-05;Small Future-proofed;backing up;Kip;port Kazakhstan Auto Loan Account
10;2019-11-05;transitional Avon;deposit calculating RSS;Steel;Facilitator Vietnam next-generation
