id;presentada_fecha;garantia;observaciones
1;2020-06-24;deposit monitor utilisation;Fantastic Metal Fish Extensions
2;2020-06-23;Gorgeous Fantastic Metal Car bypassing;Borders attitude-oriented calculating
3;2020-06-24;iterate;backing up bandwidth
4;2020-06-23;Health interface;Tunisia
5;2020-06-23;Clothing;XSS Sleek Cotton Chicken
6;2020-06-23;Springs;override
7;2020-06-24;Facilitator;Alabama
8;2020-06-24;engineer leading-edge Ball;Garden encompassing
9;2020-06-23;Bedfordshire turn-key incubate;Iowa
10;2020-06-23;Virgin Islands, British IB;Toys Internal multi-byte
