id;fecha;expediente;referencias
1;2020-06-24;Buckinghamshire;port
2;2020-06-23;Senior Tennessee Alley;User-centric bypass
3;2020-06-24;Refined innovative local;FTP South Carolina Human
4;2020-06-23;functionalities seize;Technician Ergonomic Australian Dollar
5;2020-06-24;cultivate invoice;UAE Dirham Wooden Realigned
6;2020-06-23;Chips radical;Quality
7;2020-06-23;data-warehouse Sleek bluetooth;Associate Fantastic
8;2020-06-24;syndicate ADP Locks;orchid
9;2020-06-24;clicks-and-mortar Refined Soft Mouse architectures;applications program reintermediate
10;2020-06-23;circuit deposit;El Salvador Colon US Dollar Checking Account fault-tolerant
